 net9            v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 9.48496643e-01  3.99474005e-01  3.42405447e-08  3.31867742e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533636e-09  3.99474007e-01  3.32533636e-09 
 9.22888030e-01  3.99475405e-01  3.52739722e-08  3.41955838e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99475407e-01  3.99475407e-01  3.32533650e-09 
 9.49227242e-01  3.99474121e-01  3.61989281e-08  3.50987726e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533637e-09  3.32533637e-09  3.32533637e-09 
 9.23236402e-01  3.99475349e-01  3.72388680e-08  3.61144919e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99475351e-01  3.32533649e-09  3.32533649e-09 
 9.23589572e-01  3.99475393e-01  3.82078554e-08  3.70612166e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533650e-09  3.99475395e-01  3.32533650e-09 
 9.05715257e-01  3.99476647e-01  3.92350403e-08  3.80650454e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99476649e-01  3.99476649e-01  3.32533651e-09 
 9.50715218e-01  3.99474092e-01  4.01234058e-08  3.89334043e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533637e-09  3.32533637e-09  3.32533637e-09 
 9.24121693e-01  3.99475399e-01  4.11789140e-08  3.99654771e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99475401e-01  3.32533650e-09  3.32533650e-09 
 9.24423609e-01  3.99475411e-01  4.21504787e-08  4.09156573e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533644e-09  3.99475413e-01  3.32533644e-09 
 9.06296885e-01  3.99476747e-01  4.31898019e-08  4.19323785e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99476749e-01  3.99476749e-01  3.32533651e-09 
 9.25018412e-01  3.99475321e-01  4.40890466e-08  4.28123107e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533643e-09  3.32533643e-09  3.32533643e-09 
 9.06639514e-01  3.99476725e-01  4.51246377e-08  4.38258683e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99476727e-01  3.32533657e-09  3.32533657e-09 
 9.06934646e-01  3.99476663e-01  4.60811351e-08  4.47622720e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533651e-09  3.99476665e-01  3.32533651e-09 
 8.93036198e-01  3.99478024e-01  4.71042817e-08  4.57641444e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99478027e-01  3.99478027e-01  3.32533658e-09 
 9.53779101e-01  3.99474042e-01  4.79285115e-08  4.65714654e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533642e-09  3.32533642e-09  3.32533642e-09 
 9.26011650e-01  3.99475325e-01  4.89840617e-08  4.76054866e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99475327e-01  3.32533644e-09  3.32533644e-09 
 9.26288926e-01  3.99475336e-01  4.99505733e-08  4.85525325e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533644e-09  3.99475339e-01  3.32533644e-09 
 9.07640666e-01  3.99476764e-01  5.09894890e-08  4.95708050e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99476767e-01  3.99476767e-01  3.32533651e-09 
 9.26841569e-01  3.99475340e-01  5.18798601e-08  5.04436596e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533644e-09  3.32533644e-09  3.32533644e-09 
 9.07949460e-01  3.99476754e-01  5.29308941e-08  5.14742197e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99476756e-01  3.32533651e-09  3.32533651e-09 
 9.08236262e-01  3.99476696e-01  5.38947833e-08  5.24195599e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533651e-09  3.99476699e-01  3.32533651e-09 
 8.94048570e-01  3.99478019e-01  5.49289066e-08  5.34339870e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99478022e-01  3.99478022e-01  3.32533658e-09 
 9.27950020e-01  3.99475374e-01  5.57465031e-08  5.42362428e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533644e-09  3.32533644e-09  3.32533644e-09 
