 iin             i(vb0)          i(vb1)          i(vb2)          i(vb3)          i(vb4)          i(vb5)          i(vb6)          i(vout)         i(vdump)       
 5.06756668e+01 -3.96408073e-07  1.24702112e-07  9.65016861e-08  1.17116689e-07  1.96898501e-07 -5.80444066e-08 -2.03215222e-12  8.07644571e-08  2.15941436e-07 
 5.22713561e+01  1.11665570e-07 -3.78102175e-07  1.45381798e-07  1.40581230e-07  2.07294787e-07 -5.29561768e-08 -2.03215222e-12  1.73862968e-07  1.11665770e-07 
 5.33674028e+01 -2.58943383e-07 -2.36746867e-07  1.76678314e-07  1.55521626e-07  2.13880111e-07 -4.98120767e-08 -2.03170814e-12  5.75683809e-10  2.77738689e-07 
 5.57743897e+01  5.95885302e-08  1.19375415e-07 -3.43495063e-07  1.85415531e-07  2.26957315e-07 -4.37625540e-08 -2.03215222e-12  2.04077105e-07  5.95887077e-08 
 5.72095090e+01 -3.25648674e-07  2.06853940e-07 -2.67982327e-07  2.01574322e-07  2.33958810e-07 -4.06362353e-08 -2.03215222e-12  8.11778952e-09  2.47508290e-07 
 5.85275781e+01  1.41122770e-07 -2.46445866e-07 -2.04500324e-07  2.15463319e-07  2.39930783e-07 -3.80353455e-08 -2.03170814e-12  1.07533280e-07  1.41123003e-07 
 5.95964660e+01 -2.14039705e-07 -1.18472050e-07 -1.57241509e-07  2.26122365e-07  2.44480688e-07 -3.60960080e-08 -2.03170814e-12 -5.52482518e-08  2.98518104e-07 
 6.44153093e+01  3.33642848e-08  6.67889371e-08  1.33799031e-07 -2.79059703e-07  2.62241153e-07 -2.88979827e-08 -2.03170814e-12  1.88233655e-07  3.33644414e-08 
 6.67425462e+01 -3.63078534e-07  1.63112033e-07  1.78943329e-07 -2.40641552e-07  2.69481570e-07 -2.61449835e-08 -2.03170814e-12 -1.83301785e-08  2.30763721e-07 
 6.90798379e+01  1.25881503e-07 -3.14048943e-07  2.20105806e-07 -2.06161900e-07  2.76044190e-07 -2.37469067e-08 -2.03170814e-12  7.80716945e-08  1.25881731e-07 
 7.08426596e+01 -2.36893159e-07 -1.77651966e-07  2.48792474e-07 -1.82587816e-07  2.80583284e-07 -2.21445036e-08 -2.03170814e-12 -8.99037182e-08  2.87887806e-07 
 7.38325075e+01  7.29623130e-08  1.46226713e-07 -2.24498271e-07 -1.46849163e-07  2.87582247e-07 -1.97673873e-08 -2.03215222e-12  1.15654396e-07  7.29625120e-08 
 7.62355809e+01 -3.05010187e-07  2.31393875e-07 -1.54446906e-07 -1.21572019e-07  2.92652335e-07 -1.81188766e-08 -2.03215222e-12 -7.51038121e-08  2.56799331e-07 
 7.83720823e+01  1.50575879e-07 -2.05392273e-07 -9.84002022e-08 -1.01387005e-07  2.96799426e-07 -1.68179328e-08 -2.03215222e-12  2.53758485e-08  1.50576127e-07 
 8.03050190e+01 -1.98952240e-07 -8.12735803e-08 -5.40640683e-08 -8.47990465e-08  3.00291338e-07 -1.57564926e-08 -2.03170814e-12 -1.34556108e-07  3.05610135e-07 
 9.48767782e+01  1.98869603e-08  3.97950568e-08  7.96660524e-08  1.59646734e-07 -1.67329241e-07 -1.02055000e-08 -2.03170814e-12  1.21458011e-07  1.98870961e-08 
 1.02808827e+02 -3.83462040e-07  1.39575746e-07  1.28264780e-07  1.82123352e-07 -1.50749925e-07 -8.33703551e-09 -2.03170814e-12 -9.25871477e-08  2.21690568e-07 
 1.12016611e+02  1.17233191e-07 -3.52932902e-07  1.74479372e-07  2.03332711e-07 -1.35300376e-07 -6.74726808e-09 -2.03170814e-12  6.26859000e-11  1.17233409e-07 
 1.19233431e+02 -2.50232853e-07 -2.13237511e-07  2.05052783e-07  2.17219522e-07 -1.25296622e-07 -5.79956927e-09 -2.03170814e-12 -1.72296264e-07  2.81736572e-07 
 1.35528749e+02  6.49325257e-08  1.30102050e-07 -2.95451900e-07  2.42297220e-07 -1.07477963e-07 -4.27776969e-09 -2.03170814e-12  3.01221192e-08  6.49327180e-08 
 1.48082820e+02 -3.17292852e-07  2.16744626e-07 -2.21382529e-07  2.57379876e-07 -9.69292415e-08 -3.48063534e-09 -2.03126405e-12 -1.64962774e-07  2.51264264e-07 
 1.60981829e+02  1.44933691e-07 -2.29796797e-07 -1.60452084e-07  2.70180876e-07 -8.80860087e-08 -2.87351165e-09 -2.03170814e-12 -6.60958626e-08  1.44933936e-07 
 1.73113079e+02 -2.07918203e-07 -1.03160208e-07 -1.14157455e-07  2.80337084e-07 -8.11476863e-08 -2.43682852e-09 -2.03126405e-12 -2.28485303e-07  3.01387864e-07 
 2.23027635e+02  3.84626579e-08  7.70059967e-08  1.54309868e-07 -1.89821006e-07 -6.13750237e-08 -1.38692968e-09 -2.03170814e-12  1.71935245e-08  3.84628270e-08 
 2.69264930e+02 -3.55118427e-07  1.72350404e-07  1.98892056e-07 -1.53749025e-07 -5.01280311e-08 -9.20013399e-10 -2.03126405e-12 -1.88675047e-07  2.34314916e-07 
 3.32090344e+02  1.29398964e-07 -2.98326914e-07  2.38895793e-07 -1.21943090e-07 -4.01672042e-08 -5.86257709e-10 -2.03170814e-12 -9.27307344e-08  1.29399201e-07 
 3.98880587e+02 -2.31280202e-07 -1.62873671e-07  2.67360295e-07 -9.97892018e-08 -3.31802932e-08 -3.97105460e-10 -2.03304040e-12 -2.60162180e-07  2.90487318e-07 
 5.61969752e+02  7.66037479e-08  1.53541939e-07 -1.93046119e-07 -6.88767994e-08 -2.33117312e-08 -1.93278726e-10 -2.03215222e-12 -5.52842679e-08  7.66039557e-08 
 8.40872973e+02 -2.99237434e-07  2.38331074e-07 -1.23993574e-07 -4.48205748e-08 -1.54683275e-08 -8.40829628e-11 -2.03170814e-12 -2.45274923e-07  2.59406963e-07 
 1.42306927e+03  1.53340619e-07 -1.93555650e-07 -6.99064233e-08 -2.58052264e-08 -9.09227182e-09 -2.93844948e-11 -2.03215222e-12 -1.45050351e-07  1.53340875e-07 
 3.57015873e+03 -1.94342154e-07 -7.03005627e-08 -2.62367470e-08 -1.00260316e-08 -3.60342334e-09 -6.07514039e-12 -2.03081996e-12 -3.04516984e-07  3.07790482e-07 
