 b0              v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 0.00000000e+00  3.95960804e-01  9.07463879e-09  8.60595151e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.38146538e-09  3.95960806e-01  3.35830131e-09 
 1.80000000e+00  3.95962134e-01  9.97078940e-09  9.47568424e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.95962136e-01  3.95962136e-01  3.35830146e-09 
 0.00000000e+00  3.95960748e-01  1.08610043e-08  1.03410400e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.38146537e-09  3.20679018e-09  3.35830137e-09 
 1.80000000e+00  3.95962185e-01  1.17581431e-08  1.12143255e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.95962187e-01  3.20679027e-09  3.35830146e-09 
 0.00000000e+00  3.95962123e-01  1.27073393e-08  1.21393811e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.38146542e-09  3.95962126e-01  3.35830146e-09 
 1.80000000e+00  3.95963530e-01  1.35993627e-08  1.30099949e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.95963532e-01  3.95963532e-01  3.35830150e-09 
 0.00000000e+00  3.95959321e-01  1.44583717e-08  1.38489042e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.38146532e-09  3.20679020e-09  3.35830127e-09 
 1.80000000e+00  3.95960808e-01  1.53677705e-08  1.47379637e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.95960810e-01  3.20679018e-09  3.35830137e-09 
 0.00000000e+00  3.95960765e-01  1.63168295e-08  1.56662026e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.38146537e-09  3.95960767e-01  3.35830131e-09 
 1.80000000e+00  3.95962204e-01  1.72150409e-08  1.65454566e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.95962206e-01  3.95962206e-01  3.35830147e-09 
 0.00000000e+00  3.95960824e-01  1.81000625e-08  1.74123898e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.38146538e-09  3.20679018e-09  3.35830137e-09 
 1.80000000e+00  3.95962126e-01  1.90064125e-08  1.83004545e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.95962129e-01  3.20679027e-09  3.35830146e-09 
 0.00000000e+00  3.95962120e-01  1.99474936e-08  1.92234069e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.38146542e-09  3.95962122e-01  3.35830146e-09 
 1.80000000e+00  3.95963513e-01  2.08365127e-08  2.00954844e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.95963515e-01  3.95963515e-01  3.35830150e-09 
 0.00000000e+00  3.95960724e-01  2.13997542e-08  2.06484145e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.38146539e-09  3.20679026e-09  3.35830133e-09 
 1.80000000e+00  3.95962217e-01  2.23086822e-08  2.15404299e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.95962219e-01  3.20679028e-09  3.35830148e-09 
 0.00000000e+00  3.95962168e-01  2.32470009e-08  2.24622312e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.38146543e-09  3.95962171e-01  3.35830142e-09 
 1.80000000e+00  3.95963582e-01  2.41493706e-08  2.33486901e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.95963584e-01  3.95963584e-01  3.35830151e-09 
 0.00000000e+00  3.95962181e-01  2.50050582e-08  2.41897311e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.38146543e-09  3.20679022e-09  3.35830147e-09 
 1.80000000e+00  3.95963567e-01  2.59092109e-08  2.50783643e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.95963569e-01  3.20679032e-09  3.35830157e-09 
 0.00000000e+00  3.95963534e-01  2.68421101e-08  2.59959165e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.38146548e-09  3.95963536e-01  3.35830150e-09 
 1.80000000e+00  3.95964914e-01  2.77379022e-08  2.68769043e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.95964916e-01  3.95964917e-01  3.35830165e-09 
 0.00000000e+00  3.95959404e-01  2.74393040e-08  2.65835638e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.38146538e-09  3.20679014e-09  3.35830122e-09 
 1.80000000e+00  3.95960825e-01  2.83528670e-08  2.74821446e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.95960827e-01  3.20679018e-09  3.35830132e-09 
 0.00000000e+00  3.95960704e-01  2.92949986e-08  2.84093318e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.38146537e-09  3.95960707e-01  3.35830131e-09 
