 net8            v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 9.46322617e-01  3.59959974e-01  2.56253378e-08  2.43540724e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37249338e-09  3.59959976e-01  3.34172806e-09 
 9.24446165e-01  3.59961654e-01  3.54427181e-08  3.40018435e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.59961657e-01  3.59961657e-01  3.34172811e-09 
 9.46316765e-01  3.59959997e-01  2.56289863e-08  2.43575547e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37249338e-09  3.44917437e-09  3.34172806e-09 
 9.24441777e-01  3.59961707e-01  3.54460264e-08  3.40051391e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.59961709e-01  3.44917441e-09  3.34172811e-09 
 9.24032739e-01  3.59961610e-01  3.56531466e-08  3.42084492e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.37249343e-09  3.59961612e-01  3.34172811e-09 
 9.08081284e-01  3.59963376e-01  4.43982940e-08  4.28207345e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.59963379e-01  3.59963379e-01  3.34172816e-09 
 9.46782622e-01  3.59960070e-01  2.54468779e-08  2.41786208e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37249338e-09  3.44917437e-09  3.34172806e-09 
 9.24766169e-01  3.59961780e-01  3.52854045e-08  3.38471635e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.59961783e-01  3.44917436e-09  3.34172812e-09 
 9.24354924e-01  3.59961714e-01  3.54924053e-08  3.40508091e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37249346e-09  3.59961716e-01  3.34172813e-09 
 9.08328929e-01  3.59963307e-01  4.42534861e-08  4.26785485e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.59963309e-01  3.59963309e-01  3.34172816e-09 
